Name;_name_or_path;precision;recall;F1;eval/accuracy;Train Epochs;Batch Size;Optimizer;fp16;eval/loss;State;Tags;Runtime;eval/runtime;learning_rate;train/epoch;Job Type;eval/samples_per_second;train/global_step;architectures;_n_gpu;activation;adam_beta1;adam_beta2;adam_epsilon;add_cross_attention;attention_dropout;attention_probs_dropout_prob;attn_type;bi_data;bos_token_id;clamp_len;d_head;d_inner;d_model;dim;dataloader_drop_last;dataloader_num_workers;dataloader_pin_memory;ddp_find_unused_parameters;debug;deepspeed;disable_tqdm;diversity_penalty;do_eval;do_predict;do_sample;do_train;dropout;early_stopping;embedding_size;encoder_no_repeat_ngram_size;end_n_top;eos_token_id;eval_batch_size;eval_steps;evaluation_strategy;ff_activation;fp16_backend;fp16_full_eval;fp16_opt_level;gradient_accumulation_steps;gradient_checkpointing;greater_is_better;group_by_length;hidden_act;hidden_dim;hidden_dropout_prob;hidden_size;id2label.0;id2label.1;id2label.2;id2label.3;id2label.4;id2label.5;id2label.6;id2label.7;id2label.8;ignore_data_skip;initializer_range;intermediate_size;is_decoder;is_encoder_decoder;label2id.LABEL_0;label2id.LABEL_1;label2id.LABEL_2;label2id.LABEL_3;label2id.LABEL_4;label2id.LABEL_5;label2id.LABEL_6;label2id.LABEL_7;label2id.LABEL_8;label_names;label_smoothing_factor;layer_norm_eps;length_column_name;length_penalty;load_best_model_at_end;local_rank;logging_dir;logging_first_step;logging_steps;logging_strategy;lr_scheduler_type;max_grad_norm;max_length;max_position_embeddings;max_relative_positions;max_steps;metric_for_best_model;min_length;model_type;mp_parameters;n_head;n_heads;n_layer;n_layers;no_cuda;no_repeat_ngram_size;num_attention_heads;num_beam_groups;num_beams;num_hidden_layers;output_attentions;output_dir;output_hidden_states;output_scores;overwrite_output_dir;pad_token_id;past_index;per_device_eval_batch_size;per_device_train_batch_size;per_gpu_eval_batch_size;per_gpu_train_batch_size;pooler_dropout;pooler_hidden_act;pooler_hidden_size;pos_att_type;position_biased_input;position_embedding_type;prediction_loss_only;problem_type;push_to_hub;qa_dropout;relative_attention;remove_invalid_values;remove_unused_columns;repetition_penalty;report_to;resume_from_checkpoint;return_dict;return_dict_in_generate;run_name;same_length;save_steps;save_strategy;save_total_limit;seed;sent_type_vocab_size;seq_classif_dropout;sharded_ddp;sinusoidal_pos_embds;skip_memory_metrics;start_n_top;summary_activation;summary_last_dropout;summary_type;summary_use_proj;task_specific_params.text-generation.do_sample;task_specific_params.text-generation.max_length;task_type_vocab_size;temperature;tie_encoder_decoder;tie_weights_;tie_word_embeddings;top_k;top_p;torchscript;tpu_metrics_debug;tpu_num_cores;transformers_version;type_vocab_size;untie_r;use_bfloat16;use_cache;use_legacy_prediction_loop;vocab_size;warmup_steps;weight_decay;Hostname;Notes;GPU Type;GPU Count;train/learning_rate;train/loss;train/total_flos;warmup_ratio;train/train_runtime;train/train_samples_per_second;directionality;activation_function;attn_pdrop;embd_pdrop;layer_norm_epsilon;n_ctx;n_embd;n_positions;resid_pdrop;scale_attn_weights;summary_first_dropout;summary_proj_to_labels;_num_labels;n_special;predict_special_tokens
electra-L-hdeg_5e;google/electra-large-discriminator;0.621;0.522;0.560;0.515;5;16;Adafactor;false;1.576901674;finished;hdeg_0to5;210201;50.4535;0.00002;5;Testrun;39.64;6250;"[""ElectraForPreTraining""]";1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;1024;0;;;64;20;no;;auto;false;O1;1;;None;false;gelu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;4096;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May27_10-15-57_3c89244b6238;false;20;steps;cosine;1;20;512;;-1;None;0;electra;;;;;;false;0;16;1;1;24;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/google/electra-large-discriminator;false;false;true;0;-1;64;16;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;electra-L-hdeg_5e;;5000;steps;1;42;;;[];;true;;gelu;0.1;first;true;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.56E-10;0.7785;1.03E+16;0.1;8984.9784;0.696;;;;;;;;;;;;;;;
xlnet-hdeg_5e;xlnet-base-cased;0.514;0.552;0.555;0.548;5;12;AdamW;true;1.149691939;finished;hdeg_0to5;914894;177.7726;0.00002;5;Testrun;56.252;41670;"[""XLNetLMHeadModel""]";1;;0.9;0.999;1.00E-08;false;;;bi;false;1;-1;64;3072;768;;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;5;2;64;20;no;gelu;auto;false;O1;1;;None;false;;;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May19_06-09-49_67bb530ab9b1;false;20;steps;linear;1;20;;;-1;None;0;xlnet;;12;;12;;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/xlnet-base-cased;false;false;true;5;-1;64;12;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;xlnet-hdeg_5e;false;5000;steps;1;42;;;[];;true;5;tanh;0.1;last;true;true;250;;1;false;;true;50;1;false;false;None;04.06.2000;;true;false;;false;32000;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.49E-08;0.8211;3.61E+15;0.1;23453.6851;1.777;;;;;;;;;;;;;;;
bert-base-h0to5_5e;bert-base-uncased;0.558;0.550;0.552;0.538;5;32;AdamW;true;1.160246372;finished;hdeg_0to5;4642;26.4094;0.00002;5;Testrun;113.596;4690;"[""BertForMaskedLM""]";1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;;64;20;no;;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May30_10-05-16_aefe8d3e37d9;false;20;steps;linear;1;20;512;;-1;None;0;bert;;;;;;false;0;12;1;1;12;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/bert-base-uncased;false;false;true;0;-1;64;32;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;bert-base-h0to5_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;true;false;30522;0;0;aefe8d3e37d9;-;Tesla P100-PCIE-16GB;1;5.69E-08;0.7089;2.52E+16;0.1;3987.2398;1.176;;;;;;;;;;;;;;;
ernie-hdeg_balanced5e;nghuyong/ernie-2.0-en;0.565;0.551;0.552;0.547;5;12;Adafactor;true;1.218796611;finished;hdeg_0to5;1009111;99.6619;0.00002;5;Fullrun;195.481;64940;;1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;;64;20;no;;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;0.00001;length;1;false;-1;runs/May18_04-12-13_da864d617b0d;false;20;steps;cosine;1;20;512;;-1;None;0;bert;;;;;;false;0;12;1;1;12;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/nghuyong/ernie-2.0-en;false;false;true;0;-1;64;12;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;ernie-hdeg_balanced5e;;5000;steps;1;42;4;;[];;true;;;;;;;;16;1;false;;true;50;1;false;false;None;04.06.2000;4;;false;true;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;9.03E-12;0.7709;9.97E+15;0.1;11017.9367;5.894;;;;;;;;;;;;;;;
distilbert-base-hdeg_balanced10e;distilbert-base-uncased;0.565;0.551;0.552;0.545;10;12;Adafactor;true;2.215505362;finished;hdeg_0to5;1082821;82.6802;0.00002;10;Fullrun;235.631;129880;"[""DistilBertForMaskedLM""]";1;gelu;0.9;0.999;1.00E-08;false;0.1;;;;;;;;;768;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;;;64;20;no;;auto;false;O1;1;;None;false;;3072;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;;length;1;false;-1;runs/May17_07-48-06_ad5efe06ea4e;false;20;steps;cosine;1;20;512;;-1;None;0;distilbert;;;12;;6;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilbert-base-uncased;false;false;true;0;-1;64;12;None;None;;;;;;;false;;false;0.1;;false;true;1;['wandb'];None;true;false;distilbert-base-hdeg_balanced10e;;5000;steps;1;42;;0.2;[];false;true;;;;;;;;;1;false;true;true;50;1;false;false;None;04.06.2000;;;false;;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.09E-11;0.2823;6.02E+15;0.1;26783.8194;4.849;;;;;;;;;;;;;;;
xlnet-hdeg_3eAdam;xlnet-base-cased;0.593;0.542;0.551;0.542;3;32;AdamW;true;0.988914073;finished;hdeg_0to5;343982;51.8087;0.00002;3;Testrun;57.905;2814;"[""XLNetLMHeadModel""]";1;;0.9;0.999;1.00E-08;false;;;bi;false;1;-1;64;3072;768;;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;5;2;64;20;no;gelu;auto;false;O1;1;;None;false;;;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May25_20-53-32_f7d59b7535af;false;20;steps;linear;1;20;;;-1;None;0;xlnet;;12;;12;;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/xlnet-base-cased;false;false;true;5;-1;64;32;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;xlnet-hdeg_3eAdam;false;5000;steps;1;42;;;[];;true;5;tanh;0.1;last;true;true;250;;1;false;;true;50;1;false;false;None;04.06.2001;;true;false;;false;32000;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.26E-07;0.9401;1.62E+16;0.1;3779.514;0.745;;;;;;;;;;;;;;;
bert-base-h0to5_3e;bert-base-uncased;0.562;0.545;0.550;0.544;3;32;Adafactor;true;0.98298806;finished;hdeg_0to5;964;14.1016;0.00002;3;Testrun;212.742;2814;"[""BertForMaskedLM""]";1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;;64;20;no;;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May30_10-09-48_a87e280ca9f4;false;20;steps;cosine;1;20;512;;-1;None;0;bert;;;;;;false;0;12;1;1;12;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/bert-base-uncased;false;false;true;0;-1;64;32;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;bert-base-h0to5_3e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;true;false;30522;0;0;a87e280ca9f4;-;Tesla V100-SXM2-16GB;1;1.97E-09;0.896;1.51E+16;0.1;745.0055;3.777;;;;;;;;;;;;;;;
distilroberta-hdeg_5e;distilroberta-base;0.566;0.538;0.546;0.541;5;128;Adafactor;true;0.975266099;finished;hdeg_0to5;4243;14.685;0.00002;5;Testrun;204.289;1175;"[""RobertaForMaskedLM""]";1;;0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;2;64;20;no;;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;0.00001;length;1;false;-1;runs/May27_12-33-12_f7078ec85e73;false;20;steps;cosine;1;20;514;;-1;None;0;roberta;;;;;;false;0;12;1;1;6;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilroberta-base;false;false;true;1;-1;64;128;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;distilroberta-hdeg_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;50265;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;9.94E-09;0.9202;1.89E+16;0.1;1886.4562;0.623;;;;;;;;;;;;;;;
distilbert-base-hdeg_balanced5e;distilbert-base-uncased;0.549;0.544;0.545;0.545;5;12;Adafactor;true;1.238491774;finished;hdeg_0to5;44402;83.1007;0.00002;5;Fullrun;234.439;64940;"[""DistilBertForMaskedLM""]";1;gelu;0.9;0.999;1.00E-08;false;0.1;;;;;;;;;768;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;;;64;20;no;;auto;false;O1;1;;None;false;;3072;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;;length;1;false;-1;runs/May16_18-48-53_5c1c13de434c;false;20;steps;cosine;1;20;512;;-1;None;0;distilbert;;;12;;6;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilbert-base-uncased;false;false;true;0;-1;64;12;None;None;;;;;;;false;;false;0.1;;false;true;1;['wandb'];None;true;false;distilbert-base-hdeg_balanced5e;;5000;steps;1;42;;0.2;[];false;true;;;;;;;;;1;false;true;true;50;1;false;false;None;04.06.2000;;;false;;false;30522;0;0;ad5efe06ea4e;-;Tesla P100-PCIE-16GB;1;9.77E-12;0.6983;6.10E+15;0.1;13421.3381;4.839;;;;;;;;;;;;;;;
ernie-hdeg_balanced20e50000;nghuyong/ernie-2.0-en;0.551;0.542;0.543;0.535;20;12;Adafactor;true;4.518752098;finished;hdeg_0to5;995265;26.1353;0.00002;20;Testrun;191.312;83340;;1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;;64;20;no;;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;0.00001;length;1;false;-1;runs/May18_08-14-37_da864d617b0d;false;20;steps;cosine;1;20;512;;-1;None;0;bert;;;;;;false;0;12;1;1;12;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/nghuyong/ernie-2.0-en;false;false;true;0;-1;64;12;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;ernie-hdeg_balanced20e50000;;5000;steps;1;42;4;;[];;true;;;;;;;;16;1;false;;true;50;1;false;false;None;04.06.2000;4;;false;true;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.07E-11;0.1238;6.74E+15;0.1;14521.3555;5.739;;;;;;;;;;;;;;;
ernie-tiny-hdeg_0to5;nghuyong/ernie-tiny;0.562;0.537;0.543;0.534;5;12;Adafactor;true;0.98453629;finished;hdeg_0to5;13597;77.0901;0.00002;5;Fullrun;252.717;64940;;1;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;;false;0;true;None;[];None;false;0;true;true;false;true;;false;;0;;;64;20;no;;auto;false;O1;1;false;None;false;relu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;4096;false;false;0;1;2;3;4;5;;;;None;0;0.00001;length;1;false;-1;runs/May19_08-36-14_b65331308953;false;20;steps;cosine;1;20;600;;-1;None;0;bert;;;;;;false;0;16;1;1;3;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/nghuyong/ernie-tiny;false;false;true;0;-1;64;12;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;ernie-tiny-htype_0to5;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2000;2;;false;true;false;50006;0;0;b65331308953;-;Tesla P100-PCIE-16GB;1;1.13E-11;0.9254;8.26E+15;0.1;11825.3621;5.492;bidi;;;;;;;;;;;;;;
distilbert-hdeg_3eAdam;distilbert-base-uncased;0.545;0.535;0.538;0.548;3;12;AdamW;true;0.975192487;finished;hdeg_0to5;806479;2.4062;0.00002;3;Testrun;415.59;2502;"[""DistilBertForMaskedLM""]";1;gelu;0.9;0.999;1.00E-08;false;0.1;;;;;;;;;768;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;;;64;20;no;;auto;false;O1;1;;None;false;;3072;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;;length;1;false;-1;runs/May20_11-58-52_475a85d9057d;false;20;steps;linear;1;20;512;;-1;None;0;distilbert;;;12;;6;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilbert-base-uncased;false;false;true;0;-1;64;12;None;None;;;;;;;false;;false;0.1;;false;true;1;['wandb'];None;true;false;distilbert-htype_5eAdam;;5000;steps;1;42;;0.2;[];false;true;;;;;;;;;1;false;true;true;50;1;false;false;None;04.06.2000;;;false;;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;3.55E-08;0.896;3.09E+15;0.1;172.8317;14.477;;;;;;;;;;;;;;;
xlnet-hdeg_20e20000;xlnet-base-cased;0.545;0.535;0.538;0.525;20;12;AdamW;true;4.576576233;finished;hdeg_0to5;11292;25.3397;0.00002;20;Testrun;78.927;33340;"[""XLNetLMHeadModel""]";1;;0.9;0.999;1.00E-08;false;;;bi;false;1;-1;64;3072;768;;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;5;2;64;20;no;gelu;auto;false;O1;1;;None;false;;;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May20_08-29-35_475a85d9057d;false;20;steps;linear;1;20;;;-1;None;0;xlnet;;12;;12;;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/xlnet-base-cased;false;false;true;5;-1;64;12;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;xlnet-hdeg_20e20000;false;5000;steps;1;42;;;[];;true;5;tanh;0.1;last;true;true;250;;1;false;;true;50;1;false;false;None;04.06.2000;;true;false;;false;32000;0;0;475a85d9057d;-;Tesla V100-SXM2-16GB;1;1.20E-08;0.0173;7.22E+15;0.1;7119.0679;4.683;;;;;;;;;;;;;;;
distilbert-hdeg_50eAda;distilbert-base-uncased;0.555;0.534;0.538;0.525;50;12;Adafactor;true;5.986558437;finished;hdeg_0to5;804150;2.4076;0.00002;50;Testrun;415.353;41700;"[""DistilBertForMaskedLM""]";1;gelu;0.9;0.999;1.00E-08;false;0.1;;;;;;;;;768;false;0;true;None;[];None;false;0;true;true;false;true;0.1;false;;0;;;64;20;no;;auto;false;O1;1;;None;false;;3072;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;;length;1;false;-1;runs/May20_12-46-28_475a85d9057d;false;20;steps;cosine;1;20;512;;-1;None;0;distilbert;;;12;;6;false;0;;1;1;;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilbert-base-uncased;false;false;true;0;-1;64;12;None;None;;;;;;;false;;false;0.1;;false;true;1;['wandb'];None;true;false;distilbert-htype_50eAda;;5000;steps;1;42;;0.2;[];false;true;;;;;;;;;1;false;true;true;50;1;false;false;None;04.06.2000;;;false;;false;30522;0;0;61617743d343;-;Tesla V100-SXM2-16GB;1;1.01E-11;0;2.10E+15;0.1;3668.2627;11.368;;;;;;;;;;;;;;;
