Name;precision;recall;F1;eval/accuracy;eval/loss;adafactor;train_batch_size;num_train_epochs;_name_or_path;State;Tags;Runtime;eval/runtime;learning_rate;train/epoch;eval/samples_per_second;train/global_step;model_type;N-Heads;N-Layers;vocab_size;architectures;adam_beta1;adam_beta2;adam_epsilon;add_cross_attention;attention_dropout;attention_probs_dropout_prob;attn_type;bi_data;bos_token_id;clamp_len;d_head;d_inner;d_model;dataloader_drop_last;dataloader_num_workers;dataloader_pin_memory;ddp_find_unused_parameters;debug;deepspeed;dim;disable_tqdm;diversity_penalty;do_eval;do_predict;do_sample;do_train;dropout;early_stopping;embedding_size;encoder_no_repeat_ngram_size;end_n_top;eos_token_id;eval_batch_size;eval_steps;evaluation_strategy;ff_activation;fp16;fp16_backend;fp16_full_eval;fp16_opt_level;gradient_accumulation_steps;gradient_checkpointing;greater_is_better;group_by_length;hidden_act;hidden_dim;hidden_dropout_prob;hidden_size;id2label.0;id2label.1;id2label.2;id2label.3;id2label.4;id2label.5;id2label.6;id2label.7;id2label.8;ignore_data_skip;initializer_range;intermediate_size;is_decoder;is_encoder_decoder;label2id.LABEL_0;label2id.LABEL_1;label2id.LABEL_2;label2id.LABEL_3;label2id.LABEL_4;label2id.LABEL_5;label2id.LABEL_6;label2id.LABEL_7;label2id.LABEL_8;label_names;label_smoothing_factor;layer_norm_eps;length_column_name;length_penalty;load_best_model_at_end;local_rank;logging_dir;lr_scheduler_type;max_grad_norm;max_length;max_position_embeddings;max_relative_positions;num_attention_heads;n_head;n_heads;n_layer;num_hidden_layers;n_layers;no_cuda;no_repeat_ngram_size;N-Heads;N-Layers;num_beam_groups;num_beams;output_attentions;output_dir;output_hidden_states;output_scores;overwrite_output_dir;per_device_train_batch_size;per_gpu_eval_batch_size;per_gpu_train_batch_size;pooler_dropout;pooler_hidden_act;pooler_hidden_size;pos_att_type;position_biased_input;position_embedding_type;prediction_loss_only;problem_type;push_to_hub;qa_dropout;relative_attention;remove_invalid_values;remove_unused_columns;repetition_penalty;report_to;resume_from_checkpoint;return_dict;return_dict_in_generate;run_name;same_length;save_steps;save_strategy;save_total_limit;seed;sent_type_vocab_size;seq_classif_dropout;sharded_ddp;sinusoidal_pos_embds;skip_memory_metrics;start_n_top;summary_activation;summary_last_dropout;summary_type;summary_use_proj;task_specific_params.text-generation.do_sample;task_specific_params.text-generation.max_length;task_type_vocab_size;temperature;tie_encoder_decoder;tie_weights_;tie_word_embeddings;top_k;top_p;torchscript;tpu_metrics_debug;tpu_num_cores;transformers_version;type_vocab_size;untie_r;use_bfloat16;use_cache;use_legacy_prediction_loop;warmup_steps;weight_decay;Hostname;Notes;GPU Type;GPU Count;train/learning_rate;train/loss;train/total_flos;warmup_ratio;train/train_runtime;train/train_samples_per_second;directionality;activation_function;attn_pdrop;embd_pdrop;layer_norm_epsilon;n_ctx;n_embd;n_positions;resid_pdrop;scale_attn_weights;summary_first_dropout;summary_proj_to_labels;_num_labels;n_special;predict_special_tokens
ernie-tiny-htype_5e;0.843;0.736;0.777;0.748;0.751;false;128;5;nghuyong/ernie-tiny;finished;;1713;11.1997;0.00002;5;284.919;1000;bert;16;3;50006;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;;64;20;no;;true;auto;false;O1;1;false;None;false;relu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;4096;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_21-43-02_3c89244b6238;linear;1;20;600;;16;;;;3;;false;0;16;3;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/nghuyong/ernie-tiny;false;false;true;128;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;ernie-tiny-htype_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;true;false;0;0;3c89244b6238;-;Tesla P100-PCIE-16GB;1;0;0.7576;1.77781E+16;0.1;1276.7329;0.783;bidi;;;;;;;;;;;;;;
ernie-tiny-htype3e;0.847;0.733;0.775;0.743;0.759;false;128;3;nghuyong/ernie-tiny;finished;;2539;11.5964;0.00002;3;275.173;600;bert;16;3;50006;;0.9;0.999;1.00E-08;false;;0.1;;;;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;;64;20;no;;true;auto;false;O1;1;false;None;false;relu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;4096;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_21-30-25_f7078ec85e73;linear;1;20;600;;16;;;;3;;false;0;16;3;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/nghuyong/ernie-tiny;false;false;true;128;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;ernie-tiny-htype3e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;0;0.7759;1.06669E+16;0.1;779.9314;0.769;bidi;;;;;;;;;;;;;;
xlnet-hdeg_0_1_3e;0.996;0.996;0.996;0.999;0.009;false;32;3;xlnet-base-cased;finished;hdeg_0to1;6612;51.9123;0.00002;3;57.79;2814;xlnet;12;12;32000;"[""XLNetLMHeadModel""]";0.9;0.999;1.00E-08;false;;;bi;false;1;-1;64;3072;768;false;0;true;None;[];None;;false;0;true;true;false;true;0.1;false;;0;5;2;64;20;no;gelu;true;auto;false;O1;1;;None;false;;;;;LABEL_0;LABEL_1;;;;;;;;false;0.02;;false;false;0;1;;;;;;;;None;0;1.00E-12;length;1;false;-1;runs/May27_15-53-54_f7078ec85e73;linear;1;20;;;;12;;12;;;false;0;12;12;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/xlnet-base-cased;false;false;true;32;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;xlnet-hdeg_0_1_3e;false;5000;steps;1;42;;;[];;true;5;tanh;0.1;last;true;true;250;;1;false;;true;50;1;false;false;None;04.06.2001;;true;false;;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;1.34E-07;0.009;1.6217E+16;0.1;3779.3298;0.745;;;;;;;;;;;;;;;
xlnet-htype_5e;0.802;0.790;0.794;0.815;0.573;false;32;5;xlnet-base-cased;finished;htype;6069;57.7138;0.00002;5;55.29;3990;xlnet;12;12;32000;"[""XLNetLMHeadModel""]";0.9;0.999;1.00E-08;false;;;bi;false;1;-1;64;3072;768;false;0;true;None;[];None;;false;0;true;true;false;true;0.1;false;;0;5;2;64;20;no;gelu;true;auto;false;O1;1;;None;false;;;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;;false;false;0;1;2;3;4;5;6;7;8;None;0;1.00E-12;length;1;false;-1;runs/May27_13-48-45_f7078ec85e73;linear;1;20;;;;12;;12;;;false;0;12;12;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/xlnet-base-cased;false;false;true;32;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;xlnet-htype_5e;false;5000;steps;1;42;;;[];;true;5;tanh;0.1;last;true;true;250;;1;false;;true;50;1;false;false;None;04.06.2001;;true;false;;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;7.24E-08;0.3574;2.30022E+16;0.1;5352.8849;0.745;;;;;;;;;;;;;;;
electra-L-htype_5e;0.790;0.789;0.789;0.806;0.630;true;16;5;google/electra-large-discriminator;finished;htype;18195;89.4047;0.00002;5;35.692;7980;electra;16;24;30522;"[""ElectraForPreTraining""]";0.9;0.999;1.00E-08;false;;0.1;;;;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;1024;0;;;64;20;no;;true;auto;false;O1;1;;None;false;gelu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;4096;false;false;0;1;2;3;4;5;6;7;8;None;0;1.00E-12;length;1;false;-1;runs/May27_13-28-23_3c89244b6238;cosine;1;20;512;;16;;;;24;;false;0;16;24;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/google/electra-large-discriminator;false;false;true;16;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;electra-L-htype_5e;;5000;steps;1;42;;;[];;true;;gelu;0.1;first;true;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;1.88E-10;0.3926;2.45391E+16;0.1;12248.6006;0.652;;;;;;;;;;;;;;;
distilroberta-hdeg_5e;0.566;0.538;0.546;0.541;0.975;true;128;5;distilroberta-base;finished;hdeg_0to5;4243;14.685;0.00002;5;204.289;1175;roberta;12;6;50265;"[""RobertaForMaskedLM""]";0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;2;64;20;no;;true;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;3072;false;false;0;1;2;3;4;5;;;;None;0;0.00001;length;1;false;-1;runs/May27_12-33-12_f7078ec85e73;cosine;1;20;514;;12;;;;6;;false;0;12;6;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilroberta-base;false;false;true;128;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;distilroberta-hdeg_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;9.94E-09;0.9202;1.89211E+16;0.1;1886.4562;0.623;;;;;;;;;;;;;;;
distilroberta-htype_20e;0.794;0.786;0.789;0.800;0.779;true;128;20;distilroberta-base;finished;htype;6657;13.362;0.00002;20;238.811;4000;roberta;12;6;50265;"[""RobertaForMaskedLM""]";0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;2;64;20;no;;true;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;3072;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_10-27-26_f7078ec85e73;cosine;1;20;514;;12;;;;6;;false;0;12;6;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilroberta-base;false;false;true;128;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;distilroberta-htype_20e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;1.52E-11;0.1501;6.44094E+16;0.1;6409.2647;0.624;;;;;;;;;;;;;;;
electra-L-hdeg_5e;0.627;0.526;0.563;0.515;1.577;true;16;5;google/electra-large-discriminator;finished;hdeg_0to5;10230;50.4535;0.00002;5;39.64;6250;electra;16;24;30522;"[""ElectraForPreTraining""]";0.9;0.999;1.00E-08;false;;0.1;;;;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;1024;0;;;64;20;no;;false;auto;false;O1;1;;None;false;gelu;;0.1;1024;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;4096;false;false;0;1;2;3;4;5;;;;None;0;1.00E-12;length;1;false;-1;runs/May27_10-15-57_3c89244b6238;cosine;1;20;512;;16;;;;24;;false;0;16;24;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/google/electra-large-discriminator;false;false;true;16;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;electra-L-hdeg_5e;;5000;steps;1;42;;;[];;true;;gelu;0.1;first;true;;;;1;false;;true;50;1;false;false;None;04.06.2001;2;;false;;false;0;0;3c89244b6238;-;Tesla P100-PCIE-16GB;1;1.56E-10;0.7785;1.02957E+16;0.1;8984.9784;0.696;;;;;;;;;;;;;;;
distilroberta-htype_10e;0.801;0.786;0.792;0.814;0.602;true;64;10;distilroberta-base;finished;htype;4651;15.2942;0.00002;10;208.642;3990;roberta;12;6;50265;"[""RobertaForMaskedLM""]";0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;2;64;20;no;;true;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;3072;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_08-59-29_f7078ec85e73;cosine;1;20;514;;12;;;;6;;false;0;12;6;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilroberta-base;false;false;true;64;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;distilroberta-htype_10e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;5.51E-10;0.2449;3.22047E+16;0.1;3373.8364;1.183;;;;;;;;;;;;;;;
distilroberta-htype_5e;0.809;0.788;0.797;0.817;0.523;true;64;5;distilroberta-base;finished;htype;1956;15.2234;0.00002;5;209.612;1995;roberta;12;6;50265;"[""RobertaForMaskedLM""]";0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;2;64;20;no;;true;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;3072;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_08-25-39_f7078ec85e73;cosine;1;20;514;;12;;;;6;;false;0;12;6;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/distilroberta-base;false;false;true;64;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;distilroberta-htype_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;3.92E-09;0.4677;1.61023E+16;0.1;1689.219;1.181;;;;;;;;;;;;;;;
roberta-htype_5e;0.811;0.801;0.804;0.812;0.550;true;32;5;roberta-base;finished;htype;4080;28.2903;0.00002;5;112.795;3990;roberta;12;12;50265;"[""RobertaForMaskedLM""]";0.9;0.999;1.00E-08;false;;0.1;;;0;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;2;64;20;no;;true;auto;false;O1;1;false;None;false;gelu;;0.1;768;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;LABEL_6;LABEL_7;LABEL_8;false;0.02;3072;false;false;0;1;2;3;4;5;6;7;8;None;0;0.00001;length;1;false;-1;runs/May27_07-13-58_f7078ec85e73;cosine;1;20;514;;12;;;;12;;false;0;12;12;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/roberta-base;false;false;true;32;None;None;;;;;;absolute;false;;false;;;false;true;1;['wandb'];None;true;false;roberta-htype_5e;;5000;steps;1;42;;;[];;true;;;;;;;;;1;false;;true;50;1;false;false;None;04.06.2001;1;;false;true;false;0;0;f7078ec85e73;-;Tesla P100-PCIE-16GB;1;6.47E-10;0.3779;2.44407E+16;0.1;3687.1256;1.082;;;;;;;;;;;;;;;
gpt2-hdeg_20e;0.250;0.237;0.203;0.539;3.003;true;16;20;gpt2;finished;hdeg_0to5;13420;18.5302;0.00004;20;107.932;25000;gpt2;12;12;50257;"[""GPT2LMHeadModel""]";0.9;0.999;1.00E-08;false;;;;;50256;;;;;false;0;true;None;[];None;;false;0;true;true;false;true;;false;;0;;50256;64;20;no;;false;auto;false;O1;1;false;None;false;;;;;LABEL_0;LABEL_1;LABEL_2;LABEL_3;LABEL_4;LABEL_5;;;;false;0.02;;false;false;0;1;2;3;4;5;;;;None;0;;length;1;false;-1;runs/May27_06-08-54_3c89244b6238;cosine;1;20;;;;12;;12;;;false;0;12;12;1;1;false;/content/gdrive/MyDrive/ColabNotebooks/SavedModels/gpt2;false;false;true;16;None;None;;;;;;;false;;false;;;false;true;1;['wandb'];None;true;false;gpt2-hdeg_20e;;5000;steps;1;42;;;[];;true;;;;cls_index;true;true;50;;1;false;;true;50;1;false;false;None;04.06.2001;;;false;true;false;0;0;3c89244b6238;-;Tesla P100-PCIE-16GB;1;0;0.1846;0;0.1;12752.5719;1.96;;gelu_new;0.1;0.1;0.00001;1024;768;1024;0.1;true;0.1;true;;;
