sentence	degree
[And on Chinese medicine] “Here’s the skinny on Chinese medicine. A hundred years ago the average life expectancy in China was 30. The life expectancy in China at the moment is 73. And it’s not f***ing tiger penis that turned it around.	3
[On alternative medicines] “‘Oh, herbal medicine’s been around for thousands of years!’ Indeed it has, and then we tested it all, and the stuff that worked became ‘medicine’. And the rest of it is just a nice bowl of soup and some potpourri, so knock yourselves out.	4
[On asking a Father’s permission] “If I’m ever the father of a daughter in 30 years’ time, and some gonk arrives, looking for permission, I’m going to set the f***er tasks! He’s going to be collecting a fleece by the end of the week!	4
[On devout Christianity] “Stop taking it literally – it’s only the Bible, it’s not gospel.	4
[On disaster movie 2012] “‘The neutrinos have mutated.’ Now, for the non-nerds here: neutrinos are tiny, sub-atomic, really really almost massless particles, they’re released in nuclear breakdowns, like in the sun, for example. Five hundred trillion of them pass through your bodies every second. They can’t mutate. Their structure is fundamental to the structure of the universe. Right? They can’t just change. He might as well have gone, ‘The electrons are angry’.	5
[On Greek economics] “If Greece want to bail themselves out, they really just have to invoke copyright law on all the stuff they invented some time ago now, but that they definitely invented. Like democracy, triangles and gays.	5
[On morphine suppositories] “You’ll end up with your arse between your shoulder blades.	4
[On musical snobbery] “Music snobbery is the worst kind of snobbery. ‘Oh, you like those noises? Those sounds in your ear? You like them? They’re the wrong sounds! You should like these sounds in your ear!'	5
[On Partick Thistle FC] “For years I thought the club’s name was Partick Thistle Nil.	4
[On politics] “Don’t vote, it just encourages them.	5
[On the appendix] “Why would God put it in you when it does nothing but randomly kill you for no reason?	5
[On the failed Glasgow terrorist attack] “I saw the whole thing on the news in New York and I thought I’d need an ambulance. I’ve never laughed liked it. F***ing eejits.	5
[On the Milkybar Kid] “In the case of a Wild West conflict, the surest path to peace is to send in an albino child with chocolate.	5
[Speaking to an American] “You’ve given us a lot over the years. You gave us Hallowe’en. I got that recently. ‘Trick or treat?’ I went ‘Get off my doorstep, we’re not in America,’ and this little kid went ‘there’s nothing wrong with adopting a bit of American culture.’ And I went ‘go on then, get off my doorstep, or i’ll f***ing shoot you.'	5
[To heckler] “Shut up, do I come to your work and tell you how to sweep up?	4
[To heckler] “When they put teeth in your mouth, they spoiled a perfectly good bum.	5
‘A fart is just your arse applauding’ (Photo: Getty)	5
[On Ronald Reagan] That man, he sits at that desk in the White House, and the button is there that can end the world: BOOM! My father’s younger than him and we don’t give him the controls for the television!	5
‘The great thing about homeopathy is that you can’t overdose on it.’ Well, you could f***ing drown!	5
A biker goes to the doctor with hearing problems. ‘Can you describe the symptoms to me?’ ‘Yes. Homer is a fat yellow lazy bastard and Marge is a skinny bird with big blue hair!'	5
A bird in the hand invariably shits on your wrist.	5
A fart is just your arse applauding.	5
A lot of people are too easily offended. Religious people for example. They’ve been offending other people for centuries.	5
A lot of people like cats. Take the Pope, for example: I read recently that he was a cat-oholic!	5
A lot of people say it’s a lack of vocabulary that makes you swear. Rubbish. I know thousands of words but I still prefer f***.	5
A market researcher said ‘can I ask you 10 questions’, I said ‘go on’. She said ‘question number 1: have you ever had a blackout?’ I said ‘no’, she went…’and finally, question number 10.'	5
A mate of mine has just told me he’s shagging his girlfriend and her twin. I said how can you tell them apart, he said ‘her brother’s got a moustache!	5
A well-balanced person has a drink in each hand.	4
About a month before my grandfather died, we covered his back with lard. After that he went downhill very quickly.	5
After that I worked in a pathology lab, and I was asked to leave after one of my reports said ’cause of death: autopsy’.	5
All anyone really needs to know about barbed wire is that it can tear the arse out of your trousers, give a cow a good fright, entangle a Yorkshire terrier for life, and is nasty stuff made by greedy men.	5
Ally MacLeod (then Scotland football manager) thinks tactics are a new kind of mint.	5
Anyone, in answer to the difficult questions in life, who gives you an easy bulls*** answer, and you go ‘Well, do you have any evidence for that?’ and they go ‘Ah, there is more to life than evidence’, get in the f***ing sack.	5
Apparently, women need to feel loved to have sex and men need to have sex to feel loved, so the basic act of continuing the species requires a lie from one of you.	5
As a child I had a medical condition that meant I had to eat soil three times a day in order to survive. Lucky my older brother told me about it really.	5
As a child I watched Mary Poppins so many times I suffered from a condition with my sight. Umdiddleiddleiddleumdiddle Eye.	5
As me old dad used to say, ‘Just because Thora Hird can’t climb stairs doesn’t mean she’s a Dalek'	5
Before you judge a man, walk a mile in his shoes. After that who cares? He’s a mile away and you’ve got his shoes!	5
Black Beauty – now there’s a dark horse.	5
Bonnie Prince Charlie was the only man ever named after three sheepdogs.	5
Conjunctivitis.com – that’s a site for sore eyes.	5
Did your mother never tell you not to drink on an empty head?	5
Do you ever get that when you’re half way through eating a horse and you think to yourself, ‘I’m not as hungry as I thought I was?'	5
Don’t be fooled by the frying pan industry… they don’t go ‘dong’ when you hit someone. There is no setting for ‘stun’ on a frying pan.	5
Don’t buy one of those baby intercoms. Babies pretend to be dead. They’re bastards, and they do it on purpose.	5
Eric Bristow asked me why I put superglue on one of his darts. I said ‘you just can’t let it go can you?'	5
Fame is being asked to sign your autograph on the back of a cigarette packet.	5
Hard to tell if people are interested in joining my Sarcastic Club or not…	5
Have you ever watched footage of the destruction caused by hurricanes in America? When a big wind sweeps across America, there isn’t a building left standing. And you can’t help thinking: the Southern states of America must have been built by the first two little piggies.	5
Honestly some folk will take offence at anything, I met a bloke with no legs this morning while at the bus stop, all I asked was ‘How are you getting on?'	5
Hopefully, I’ve got a book coming out soon. Shouldn’t have eaten it, really.	5
How many of you have ever played with a [Nintendo] Wii? That doesn’t count. This is a Wii game, ‘Ooh I’m stroking a pony.’ That’s a Wii game, right. ‘Ooh I’m feeding sugar cubes to a unicorn and it’s going to poo out rainbows that I can paint onto Mario’s house.’ That’s not gaming. This is gaming: ‘Oh my god I’m in a gun battle! Which of these buttons isn’t crouch?!'	5
I actually got mugged in Limerick. That’s the place by the way – not the style. I don’t mean someone came up to me and went: ‘Hello my name is Pete, I’m standing in the street, don’t be rash, give me your cash or I’ll kick you in the teeth.'	5
I always look skint. When I buy a Big Issue, people take it out of my hand and give me a pound.	5
